,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
0,Jerry Carl,RepJerryCarl,2021-06-19T19:35:46.000Z,"156 years ago, the last slaves in America were finally freed. As we recognize #Juneteenth as a national holiday for the first time this year, we remember the past and celebrate the future. https://t.co/dTahUusWKU",",",",Juneteenth,",",",",https://t.co/dTahUusWKU,"
1,Barry Moore,RepBarryMoore,2021-06-20T15:30:40.000Z,"Nothing beats being a father. Incredibly blessed for my beautiful family and all the wonderful memories we share.

From my family to yours, Happy Father’s Day! https://t.co/R0BlAzs8Vo",",",",",",",",https://t.co/R0BlAzs8Vo,"
2,Barry Moore,RepBarryMoore,2021-06-20T14:52:02.000Z,Heartbreaking. Heather and I are praying for the families who lost loved ones and a full recovery for those injured in the crash. https://t.co/N8dNkxBc4j,",",",",",",",https://t.co/N8dNkxBc4j,"
3,Barry Moore,RepBarryMoore,2021-06-19T17:30:00.000Z,"Despite the WHO’s inability to hold the CCP accountable for its role in spreading COVID-19, Biden’s budget proposes giving the organization $124 million.

Unbelievable. The Biden administration continues to put Americans last.",",",",",",",","
4,Barry Moore,RepBarryMoore,2021-06-19T15:30:00.000Z,🚨 ICYMI: My latest The Moore You Know column is out! https://t.co/mHMQ4YRs4C,",",",",",",",https://t.co/mHMQ4YRs4C,"
5,Barry Moore,RepBarryMoore,2021-06-19T14:31:30.000Z,"Yesterday, I was honored to attend the groundbreaking ceremony for The Landing, a new subdivision that will include roads named after fallen soldiers from Enterprise. May our community honor these heroes, remember their sacrifice, and never forget the price of freedom.

🇺🇸🇺🇸🇺🇸 https://t.co/Hrd3NGQe3k",",",",",",",",https://t.co/Hrd3NGQe3k,"
6,Mike Rogers,RepMikeRogersAL,2021-06-20T21:10:36.000Z,"I am praying for the families of all the victims who were injured or killed in the tragic car wreck on I-65.
 
It is devastating to hear that multiple victims were children from Tallapoosa County Girls Ranch, which provides a home for neglected or abused school-age children.",",",",",",",","
7,Mike Rogers,RepMikeRogersAL,2021-06-20T11:55:54.000Z,"Being a father is the most important role I have and everyday I am so grateful to be one. 

Wishing all dads a happy Father's Day. https://t.co/Q8GO53Se13",",",",",",",",https://t.co/Q8GO53Se13,"
8,Mo Brooks,RepMoBrooks,2021-06-20T20:30:26.000Z,"Martha and I are devastated to hear about the deadly wreck on I-65. We are praying for all involved, and ask that you do the same. https://t.co/tvzbegOwH9",",",",",",",",https://t.co/tvzbegOwH9,"
9,Gary Palmer,USRepGaryPalmer,2021-06-20T19:44:01.000Z,Happy Father’s Day to all the wonderful dads out there! https://t.co/RXbACqCOkH,",",",",",",",https://t.co/RXbACqCOkH,"
10,Terri Sewell,RepTerriSewell,2021-06-20T18:38:40.000Z,Wishing a very special #FathersDay to all those in Alabama’s 7th Congressional District who have embraced the essential role of fatherhood! https://t.co/9V15xjyYc5,",",",FathersDay,",",",",https://t.co/9V15xjyYc5,"
11,Terri Sewell,RepTerriSewell,2021-06-19T18:39:59.000Z,"RT @WaysMeansCmte: NEWS: Yesterday, @RepTerriSewell, @RepJimmyGomez, and @RepHorsford—co-chairs of the W&amp;M Cmte's Racial Equity Initiative…",",WaysMeansCmte,",",",",",","
12,Terri Sewell,RepTerriSewell,2021-06-19T17:35:49.000Z,"Celebrating Black freedom and reflecting on the work still ahead of us. Progress is elusive, so we must fight and fight again until true justice is achieved. Happy #Juneteenth! https://t.co/6DEzSYvMoC",",",",Juneteenth,",",",",https://t.co/6DEzSYvMoC,"
13,Don Young,RepDonYoung,2021-06-20T22:21:30.000Z,"RT @repdonyoung: The longest day of the year is upon us! I hope you’ll get outside to enjoy some fresh Alaskan air. 

Happy #SummerSolstice…",",repdonyoung,",",",",",","
14,Don Young,RepDonYoung,2021-06-20T20:10:39.000Z,"The longest day of the year is upon us! I hope you’ll get outside to enjoy some fresh Alaskan air. 

Happy #SummerSolstice, Alaska! https://t.co/iZJZam8SCP",",",",SummerSolstice,",",",",https://t.co/iZJZam8SCP,"
15,Don Young,RepDonYoung,2021-06-20T15:26:35.000Z,"I'm the proud father of two amazing daughters, and fatherhood will always be one of the greatest joys of my life. Happy Father's Day to dads in Alaska and across the country! #FathersDay https://t.co/m9lWOxHJhn",",",",FathersDay,",",",",https://t.co/m9lWOxHJhn,"
16,Don Young,RepDonYoung,2021-06-20T14:35:38.000Z,"RT @repdonyoung: 🚨BREAKING🚨

Amid weeks of unsuccessful #infrastructure negotiations, today I'm proud to release my own blueprint. 

The Yo…",",repdonyoung,",",",",",","
17,Don Young,RepDonYoung,2021-06-19T22:05:32.000Z,"RT @repdonyoung: [THREAD] I proudly voted to support making #Juneteenth a federal holiday. This day is central to U.S. history, the day the…",",repdonyoung,",",",",",","
18,Tom O'Halleran,repohalleran,2021-06-20T21:15:00.000Z,Congratulations to @GRIC_official's Natalie Diaz on winning a Pulitzer Prize in Poetry!   https://t.co/E6jf8mkJQi,",",",",",GRIC_officials,",",https://t.co/E6jf8mkJQi,"
19,Tom O'Halleran,repohalleran,2021-06-19T21:15:00.000Z,"This #Juneteenth, we remember those who paid the ultimate price fighting for their freedom. Today, we continue to fight for every person’s right to life, liberty and the pursuit of happiness. That’s why I voted for legislation establishing Juneteenth as a Federal holiday. #AZ01",",",",Juneteenth,AZ01,",",",","
20,Tom O'Halleran,repohalleran,2021-06-19T18:55:20.000Z,"SHOW LOW: My staff and I are continuing to monitor this tragic incident as we learn more information. Right now, my thoughts and prayers are with those who have been injured and those in critical condition. #AZ01 https://t.co/FvMklRV0nx",",",",AZ01,",",",",https://t.co/FvMklRV0nx,"
21,Tom O'Halleran,repohalleran,2021-06-19T14:30:00.000Z,TODAY: I'm hosting a Virtual Service Academy Day with my colleagues in the Arizona delegation at 10:00 AM. #AZ01 students looking for info about admissions &amp; the Congressional nomination process for U.S. service academies can RSVP here: https://t.co/9w214xfjQw https://t.co/eNX6FwsJnW,",",",AZ01,",",",",https://t.co/9w214xfjQw,https://t.co/eNX6FwsJnW,"
22,Ann Kirkpatrick,RepKirkpatrick,2021-06-20T20:32:51.000Z,Wishing all the dads out there a happy #FathersDay!,",",",FathersDay,",",",","
23,Ann Kirkpatrick,RepKirkpatrick,2021-06-20T16:15:03.000Z,"It’s great to see that the Arizona legislature is partnering on a bipartisan effort to prevent and fight wildfires. Climate change will only make the threat of wildfires more serious in years to come, and Arizona needs to be ready.

https://t.co/6ynFLXEeRu",",",",",",",",https://t.co/6ynFLXEeRu,"
24,Ann Kirkpatrick,RepKirkpatrick,2021-06-19T20:15:03.000Z,@TheRialtoTucson graciously hosted my staff &amp; discussed how delivering #SVOG would help ensure businesses like Rialto can stay open &amp; survive the difficult economic challenges of the last year. I join my colleagues in urging SBA to deliver these overdue funds w/ urgency. https://t.co/hCaALDXtii,",",",SVOG,",",TheRialtoTucson,",",https://t.co/hCaALDXtii,"
25,Ann Kirkpatrick,RepKirkpatrick,2021-06-19T17:30:11.000Z,"This #Juneteenth, we remember those who paid the ultimate price fighting for their freedom. Today we continue to fight for every person’s right to life, liberty and the pursuit of happiness. That’s why I voted for legislation establishing Juneteenth as a Federal holiday",",",",Juneteenth,",",",","
26,Ann Kirkpatrick,RepKirkpatrick,2021-06-19T15:15:03.000Z,"TODAY: At 10AM our AZ Congressional Offices will be hosting a virtual Academy Day! 

Join us here: https://t.co/5PqlxIc1Ur",",",",",",",",https://t.co/5PqlxIc1Ur,"
27,Raul Grijaiva,RepraulGrijalva,2021-06-19T22:31:54.000Z,"Today we celebrate #Juneteenth to commemorate the end of slavery in the US when enslaved people in Texas were told about the Emancipation Proclamation signed 2 years earlier. 

We must continue to fight for every person’s right to life, liberty, and the pursuit of happiness. https://t.co/AnBFFsoQnY",",",",Juneteenth,",",",",https://t.co/AnBFFsoQnY,"
28,Paul Gosar,RepGosar,2021-06-20T14:44:35.000Z,Happy Father’s Day! https://t.co/UFG85QW8ca,",",",",",",",https://t.co/UFG85QW8ca,"
29,Andy Biggs,RepAndyBiggsAZ,2021-06-20T19:10:46.000Z,"Happy Father’s Day to all the dads out there. Being a father to six has been one of the greatest honors of my life. May God bless you as you lead your families. 

#FathersDay",",",",FathersDay,",",",","
30,Andy Biggs,RepAndyBiggsAZ,2021-06-20T13:50:47.000Z,"RT @March_for_Life: Fathers, your support and love can make all the difference! #HappyFathersDay https://t.co/2TR6K5Msjk",",March_for_Life,",",",",",","
31,Andy Biggs,RepAndyBiggsAZ,2021-06-19T17:01:55.000Z,RT @HouseGOP: https://t.co/iKk7MNAU88,",HouseGOP,",",",",",","
32,Andy Biggs,RepAndyBiggsAZ,2021-06-19T16:45:18.000Z,"RT @newsmax: Donald Trump went off on President Biden over the ""toxic and anti-American theories"" being pushed on school children: https://…",",newsmax,",",",",",","
33,Andy Biggs,RepAndyBiggsAZ,2021-06-19T16:39:48.000Z,RT @HouseGOP: Where’s Kamala?  https://t.co/5vbsl63IWG,",HouseGOP,",",",",",","
34,Andy Biggs,RepAndyBiggsAZ,2021-06-19T16:39:40.000Z,"If you don’t like the American flag, feel free to leave.  https://t.co/i62saDBYaJ",",",",",",",",https://t.co/i62saDBYaJ,"
35,David Schweikert,RepDavid,2021-06-21T00:27:12.000Z,"RT @Suns: SUNS WIN!!!
SUNS WIN!!!
SUNS WIN!!!
SUNS WIN!!!
SUNS WIN!!!

𝐄𝐕𝐄𝐑𝐘𝐓𝐇𝐈𝐍𝐆 𝐂𝐎𝐔𝐍𝐓𝐒. #RallyTheValley https://t.co/Ckf69EjtRP",",Suns,",",",",",","
36,David Schweikert,RepDavid,2021-06-20T21:32:24.000Z,Becoming a father has been the greatest gift. Wishing every father a great day today spent with family. 🙏,",",",",",",","
37,David Schweikert,RepDavid,2021-06-19T17:36:06.000Z,RT @HouseGOP: https://t.co/iKk7MNAU88,",HouseGOP,",",",",",","
38,Ruben Gallego,RepRubenGallego,2021-06-19T19:24:11.000Z,"Today we celebrate the end of slavery, but we also must confront our nation’s dark history of racism and recognize that it continues to this day. We commit to learning, listening, and working towards true equity and justice. #Juneteenth",",",",Juneteenth,",",",","
39,Debbie Lesko,RepDLesko,2021-06-20T14:00:03.000Z,Wishing every father across our nation a Happy Father’s Day! https://t.co/PPEkv7j3rp,",",",",",",",https://t.co/PPEkv7j3rp,"
40,Debbie Lesko,RepDLesko,2021-06-19T14:00:01.000Z,"CPB has had more fentanyl seizures in just the first FOUR MONTHS of 2021 than all of 2020, with 800% more fentanyl seizures in these four months than the last four years COMBINED. Biden’s open border policies only benefit the cartels.",",",",",",",","
41,Greg Stanton,RepGregStanton,2021-06-20T22:11:34.000Z,"Wishing a very happy Father's Day to all of the fathers and father figures across Arizona. Thinking also of those missing ones they’ve lost.

I hope you’re able to safely celebrate or remember with the people you love.",",",",",",",","
42,Greg Stanton,RepGregStanton,2021-06-19T16:12:04.000Z,"I was proud to vote to make #Juneteenth a federal holiday, but it is far from enough. Work remains to be done to address systemic racism and realize equal justice under law for Black Americans.",",",",Juneteentha,",",",","
43,Greg Stanton,RepGregStanton,2021-06-19T16:12:03.000Z,"June 19, 1865, two years after emancipation, Union troops took control of Texas and freed the last enslaved Americans. #Juneteenth  marks the end of the darkest era in our history, and is a reminder of the lasting consequences of America’s original sin.",",",",Juneteenth,",",",","
44,French Hill,RepFrenchHill,2021-06-20T23:36:48.000Z,"Happy Father’s Day to all the central Arkansas fathers, role models, and those who have taken on a fatherly role in a child’s life. 

I’m proud to be the father of my two beautiful children, Payne and Liza, and thankful to my father, Jay, for passing on his wisdom and values. https://t.co/7cwYF4u72B",",",",",",",",https://t.co/7cwYF4u72B,"
45,French Hill,RepFrenchHill,2021-06-19T20:29:15.000Z,"I stopped by the Juneteenth Celebration hosted by the Wright Avenue Neighborhood Association earlier today. It was a pleasure to catch up with Mother Annie Abrams, meet with local Arkansans, and learn more about the work they are doing to revitalize the neighborhood. https://t.co/lMzyz3qyLz",",",",",",",",https://t.co/lMzyz3qyLz,"
46,Steve Womack,rep_stevewomack,2021-06-20T14:53:20.000Z,Happy Father’s Day! https://t.co/6dqolVBJS2,",",",",",",",https://t.co/6dqolVBJS2,"
47,Bruce Westerman,RepWesterman,2021-06-20T13:18:42.000Z,RT @HouseGOP: https://t.co/bOfBYavfr5,",HouseGOP,",",",",",","
48,Bruce Westerman,RepWesterman,2021-06-19T16:48:19.000Z,Mark your calendars! https://t.co/Y0xRREZaTG,",",",",",",",https://t.co/Y0xRREZaTG,"
49,Bruce Westerman,RepWesterman,2021-06-19T16:43:22.000Z,"Today, we celebrate #Juneteenth as the day the last enslaved Americans were freed in Galveston, TX. Today is a reminder that as we continually work to create a more perfect union, ALL people are created equal w/ certain unalienable rights: Life, Liberty &amp; the Pursuit of Happiness",",",",Juneteenth,",",",","
50,Jared Huffman,RepHuffman,2021-06-20T00:37:43.000Z,"RT @NMAAHC: #OTD in 1865, enslaved African Americans were notified of their freedom by Union troops in Galveston Bay, TX—two years after th…",",NMAAHC,",",",",",","
51,Jared Huffman,RepHuffman,2021-06-20T00:37:26.000Z,"Today we celebrate #Juneteenth, which marks and celebrates the end of slavery in the United States. 

At a time when Critical Race Theory is being challenged, it’s never been more important to recognize the historical inequalities in our nation. https://t.co/vqEZdDJQZ0",",",",Juneteenth,",",",",https://t.co/vqEZdDJQZ0,"
52,John Garamendi,RepGaramendi,2021-06-20T15:37:04.000Z,Patti and I are wishing you a very happy Father’s Day! https://t.co/NNcyE9KOHP,",",",",",",",https://t.co/NNcyE9KOHP,"
53,Mike Thompson,RepThompson,2021-06-20T16:12:04.000Z,"On Father’s Day, I’m standing with #DadsForGunSafety to spread the word about the importance of gun violence prevention. It’s critical we all work to ensure no father, no parent, no guardian loses another child to gun violence.",",",",DadsForGunSafety,",",",","
54,Mike Thompson,RepThompson,2021-06-20T13:00:06.000Z,Happy Father’s Day to all the dads and father figures out there. I’m so honored to be a dad to my two incredible sons and a grandfather to their children.,",",",",",",","
55,Mike Thompson,RepThompson,2021-06-19T19:00:00.000Z,"This week, I introduced the Disaster Tax Relief Act of 2021, a bill that uses the tax code to help survivors of natural disasters, like fires, and incentivize efforts to mitigate the impact of future disasters. https://t.co/jNLE54UGRM",",",",",",",",https://t.co/jNLE54UGRM,"
56,Mike Thompson,RepThompson,2021-06-19T16:00:01.000Z,"If you are a small business owner that was impacted by last year’s fires, don’t forget that July 16 is the deadline to apply for an SBA Federal Disaster Loan for Economic Injury. These loans can cover fixed debts, payroll, accounts payable and other bills. https://t.co/lBWRWiX4Bv",",",",",",",",https://t.co/lBWRWiX4Bv,"
57,Mike Thompson,RepThompson,2021-06-19T15:00:02.000Z,"Good to celebrate the amazing life and legacy of Michael Miller yesterday as we dedicated the United Steel Workers, Local 326 Hall in his honor! https://t.co/DRQkx0XFIC",",",",",",",",https://t.co/DRQkx0XFIC,"
58,Mike Thompson,RepThompson,2021-06-19T13:00:15.000Z,"This week, I was proud to vote to pass a bill to make today, June 19 a Federal Holiday. Watch my message marking Juneteenth. https://t.co/ZeCE9EN6Iw",",",",",",",",https://t.co/ZeCE9EN6Iw,"
59,Doris Matsui,DorisMatsui,2021-06-20T22:51:37.000Z,"🚨 SACRAMENTO COUNTY 🚨
 
@RideSacRT is offering FREE rides to your scheduled COVID-19 appointments to all vaccination sites within Sacramento Regional Transit’s service area through July 31, 2021!
 
Find out how to get your FREE ride today ⬇️ https://t.co/c7i8c3Kq6n",",",",",",RideSacRT,",",https://t.co/c7i8c3Kq6n,"
60,Doris Matsui,DorisMatsui,2021-06-20T19:00:02.000Z,"Happy #FathersDay to all the fathers &amp; father figures who act as role models &amp; pillars of strength to their families &amp; loved ones. Today is a day to celebrate the vital role that they play in our lives &amp; in our communities, including those we've lost &amp; those fighting overseas. https://t.co/jOVjWLfsff",",",",FathersDay,",",",",https://t.co/jOVjWLfsff,"
61,Doris Matsui,DorisMatsui,2021-06-19T23:12:15.000Z,"#JuneTeenth2021 is a time to reflect on where we've been &amp; on how much work we still have to do towards building an equitable future for all.
 
This week, the House &amp; the Senate passed legislation making #Juneteenth a federal holiday, &amp; @POTUS signed it into law.
 
#ForThePeople https://t.co/EXwer4X4QC",",",",JuneTeenth2021,Juneteenth,ForThePeople,",",POTUS,",",https://t.co/EXwer4X4QC,"
62,Ami Bera,RepBera,2021-06-19T16:28:26.000Z,"I join Americans across the country in celebrating #Juneteenth.

Today we commemorate the end of slavery in the United States and mark the day that enslaved people in Texas were told about the Emancipation Proclamation signed two years earlier.",",",",Juneteenth,",",",","
63,Jay Obernoite,JayObernolte,2021-06-20T19:24:47.000Z,Happy American Eagle Day! #CA08’s Big Bear is lucky to have its own bald eagle cam. Check out the latest from the nest here: https://t.co/Zyma7DERu5,",",",CA08s,",",",",https://t.co/Zyma7DERu5,"
64,Jay Obernoite,JayObernolte,2021-06-20T19:18:08.000Z,"Thank you @sheriffmcmahon for over 30yrs of service to @sbcountysheriff &amp; our community. Your commitment to public safety &amp; your leadership during hard times, especially the December 2 terror attack, made #CA08 safer. Heather &amp; I wish you &amp; Shelly all the best in your retirement. https://t.co/1NqDnbkKKY",",",",CA08,",",sheriffmcmahon,sbcountysheriff,",",https://t.co/1NqDnbkKKY,"
65,Jay Obernoite,JayObernolte,2021-06-20T16:27:13.000Z,"Happy Father’s Day to my Father, and to all of the great fathers in #CA08! One of the greatest joys in my life is being a father to my two sons, Hale and Troy. #ThreeGenerations https://t.co/MlOejcBEW9",",",",CA08,ThreeGenerations,",",",",https://t.co/MlOejcBEW9,"
66,Jerry McNerney,RepMcNerney,2021-06-20T21:02:52.000Z,"And to those who have had the great opportunity to play one of those roles to someone important to you, Happy Father’s Day.",",",",",",",","
67,Jerry McNerney,RepMcNerney,2021-06-20T21:02:52.000Z,"Some of us are celebrating today with loved ones who are still with us. Some of us, like me, are missing the ones we’ve lost. But I hope you all take a moment to reflect upon and thank the fathers, grandfathers and other father-figures in your life.",",",",",",",","
68,Jerry McNerney,RepMcNerney,2021-06-20T21:02:52.000Z,"Before volunteering in the U.S. Army during WW2, he was a proud engineer and a union man in San Francisco in the 1930’s. He later retired from the reserves as a Colonel.",",",",",",",","
69,Jerry McNerney,RepMcNerney,2021-06-20T21:02:52.000Z,"As we celebrate Fathers’ Day today, I’m thinking a lot about my own father – a man who cared a great deal about his family and tried to always be there for us. He was a pillar in our community, setting an example of a virtuous life with his strong convictions.",",",",",",",","
70,Jerry McNerney,RepMcNerney,2021-06-19T18:32:57.000Z,"This past week, my colleagues and I passed legislation to make this important day a federal holiday, which President Biden signed into law. Commemorating this day is a reminder of how far we have come as a country, and a rallying call to continue to work toward equality for all.",",",",",",",","
71,Jerry McNerney,RepMcNerney,2021-06-19T18:32:56.000Z,"Juneteenth, or Black Independence Day, marks the end of a dark stain on our nation’s history and a major step on our continuing and unfinished path to build a more perfect union.",",",",",",",","
72,Jerry McNerney,RepMcNerney,2021-06-19T18:32:56.000Z,"Two and a half years after the Emancipation Proclamation, Major General Gordon Granger arrived in Galveston, TX and announced the end of the Civil War and slavery in the United States. The day was June 19th, 1865.",",",",",",",","
73,Josh Harder,RepJoshHarder,2021-06-20T18:08:00.000Z,Mental health is healthcare. Everyone deserves affordable access to the services they need.,",",",",",",","
74,Josh Harder,RepJoshHarder,2021-06-20T14:42:17.000Z,Happy Father’s Day to my dad — and all the amazing dads and father figures in the Valley! https://t.co/WYP0WNFLYU,",",",",",",",https://t.co/WYP0WNFLYU,"
75,Josh Harder,RepJoshHarder,2021-06-20T00:06:00.000Z,"My team saves folks in the Valley thousands of dollars each week (over $7 million since I've been in office!). 

We're always here to help — if you're having an issue with EDD or any other govt. agency, give my office a call.

📞 (209) 579 5458",",",",",",",","
76,Josh Harder,RepJoshHarder,2021-06-19T23:06:00.000Z,"Earlier this week I voted to make sure politicians disclose how much money they’re getting from big corporations. 

Instead, we should be voting to BAN corporations from giving politicians money altogether. 

It’s absurd I have to keep saying this.",",",",",",",","
77,Josh Harder,RepJoshHarder,2021-06-19T19:06:00.000Z,"Not so fun fact: If the wealthiest 25 American paid the same rate in taxes as any average family in the Valley, we would have enough money to end homelessness in California.",",",",",",",","
78,Josh Harder,RepJoshHarder,2021-06-19T15:29:44.000Z,We don't have enough firefighters because we don't pay them enough. It's simple: let's give them what they deserve before this fire season gets any worse. https://t.co/kEbSrtyXw3,",",",",",",",https://t.co/kEbSrtyXw3,"
79,Mark DeSaulnier,RepDeSaulnier,2021-06-20T22:44:11.000Z,"On #WorldRefugeeDay, we reflect on the extraordinary value that refugees provide in our community. I remain committed to working to help us meet our 2021 refugee admissions goal. #RefugeesWelcome",",",",WorldRefugeeDay,RefugeesWelcome,",",",","
80,Mark DeSaulnier,RepDeSaulnier,2021-06-20T15:11:24.000Z,"Amongst the many titles I’ve been fortunate to have in my life, the best title I’ve ever had is Dad. Wishing all the dads out there a very happy #FathersDay! https://t.co/pBZ8XBlCtn",",",",FathersDay,",",",",https://t.co/pBZ8XBlCtn,"
81,Mark DeSaulnier,RepDeSaulnier,2021-06-20T00:10:19.000Z,It was an honor to spend #Juneteenth with the communities of @citypittsburgca and @antiochcagov. I look forward to continuing our work towards full justice and equality here in @CCCounty and across the country. https://t.co/PjCuPcGkhu,",",",Juneteenth,",",citypittsburgca,antiochcagov,CCCounty,",",https://t.co/PjCuPcGkhu,"
82,Mark DeSaulnier,RepDeSaulnier,2021-06-19T15:54:51.000Z,#Juneteenth is a celebration of freedom but the work for full liberation and justice must continue. I’ll never stop advocating for this in Congress. https://t.co/tM3juqqmBZ,",",",Juneteenth,",",",",https://t.co/tM3juqqmBZ,"
83,Nancy Pelosi,SpeakerPelosi,2021-06-20T22:34:57.000Z,"On #FathersDay, we reflect on the contributions our fathers and father figures make every day to ensure our lives are better. May you all find time to celebrate with your family and loved ones. https://t.co/8dCvD9urq6",",",",FathersDay,",",",",https://t.co/8dCvD9urq6,"
84,Nancy Pelosi,SpeakerPelosi,2021-06-20T21:20:01.000Z,"See what happened behind-the-scenes this week at the United States Capitol with my Medium post, ‘Madam Speaker.’

https://t.co/4uJw2lwaZD",",",",",",",",https://t.co/4uJw2lwaZD,"
85,Nancy Pelosi,SpeakerPelosi,2021-06-20T19:00:48.000Z,"America has a sacred duty to continue to extend a hand to the world’s most vulnerable. Let us pledge to live up to our founding promise as a beacon of hope and opportunity around the world for all those yearning to breathe free. 

Read my statement here: https://t.co/SL6yoAk2Ov",",",",",",",","
86,Nancy Pelosi,SpeakerPelosi,2021-06-20T19:00:48.000Z,"On #WorldRefugeeDay, Americans join the world in reflecting on the struggles and suffering of the more than 82 million people forced to flee their homes. Nearly half of those escaping war, persecution, human rights violations and natural disasters are innocent children.",",",",WorldRefugeeDay,",",",","
87,Nancy Pelosi,SpeakerPelosi,2021-06-20T17:14:01.000Z,"In order to create an equitable workforce, we must empower individuals to be able to care for their families without losing their paycheck. That’s why the American Jobs Plan makes transformative investments in the care economy. #BuildBackBetter",",",",BuildBackBetter,",",",","
88,Nancy Pelosi,SpeakerPelosi,2021-06-19T19:15:01.000Z,The American Families Plan contains funding to help 5+ million students attend community college while paying NO tuition and NO fees. #BuildBackBetter,",",",BuildBackBetter,",",",","
89,Nancy Pelosi,SpeakerPelosi,2021-06-19T17:21:25.000Z,"This week, Congress came together to recognize #Juneteenth as a federal holiday. Let us renew our pledge to continue our march toward a more perfect union &amp; live up to our nation’s founding promise of full equality for all. 

Read my full statement here: https://t.co/xhJXM0b1lz",",",",Juneteenth,",",",","
90,Nancy Pelosi,SpeakerPelosi,2021-06-19T17:21:25.000Z,"#Juneteenth is a celebration of freedom for Black Americans, commemorated by millions around our nation for 156 years. This day marks a milestone in the abolition of slavery, followed by complete abolition w/ the ratification of the 13th Amendment 6 months later on December 6th.",",",",Juneteenth,",",",","
91,Barbara Lee,RepBarbaraLee,2021-06-21T01:02:48.000Z,I’ll be joining @NBCJoshua on MSNBC at 6:30pm PT / 9:30pm ET tonight to discuss my bill to repeal the 2002 AUMF. Tune in!,",",",",",NBCJoshua,",","
92,Barbara Lee,RepBarbaraLee,2021-06-20T22:51:42.000Z,"My prayers are with the victims of this shooting &amp; of every other incidence of gun violence in the East Bay &amp; nationwide. 

Prayers are not enough — Congress must act to end it.

https://t.co/uOx2JAFd8g",",",",",",",",https://t.co/uOx2JAFd8g,"
93,Barbara Lee,RepBarbaraLee,2021-06-20T20:35:29.000Z,"Today, I’m thinking of my kind, steadfast, and loving father, Lt. Col. Garvin Tutt, who taught me to stand up and fight for justice no matter what. 

I miss him deeply. Happy #FathersDay. https://t.co/3ZJglXfvkv",",",",FathersDay,",",",",https://t.co/3ZJglXfvkv,"
94,Barbara Lee,RepBarbaraLee,2021-06-19T21:46:30.000Z,"Making #Juneteenth a national holiday is an important step in our fight to dismantle systemic racism.
 
Now we must pass H.R. 40 &amp; my bill H.Con.Res.19 to create a truth, racial healing &amp; transformation commission.",",",",Juneteenth,",",",","
95,Barbara Lee,RepBarbaraLee,2021-06-19T21:20:48.000Z,"My great grandmother was born in Texas during slavery &amp; my grandfather &amp; his brother were born in Galveston, TX. 
 
#Juneteenth has for me always symbolized a time for deep reflection &amp; commitment to justice.",",",",Juneteenth,",",",","
96,Jackie Speier,RepSpeier,2021-06-20T21:37:36.000Z,"My father was an immigrant who loved the US &amp; what it meant to become an American. His wish when he died was to be buried in a simple pine box w/an American flag. He taught me many lessons, including some of the most difficult. In honor of him &amp; all dads, #HappyFathersDay2021!",",",",HappyFathersDay2021,",",",","
97,Jackie Speier,RepSpeier,2021-06-19T22:41:02.000Z,"May Champ live on in your hearts. He was the best companion. I love my Emma and Bubba, but I’ll always love and miss my sweet Buddy. https://t.co/9gs0HCeatL https://t.co/7tRDZQ312M",",",",",",",",https://t.co/9gs0HCeatL,https://t.co/7tRDZQ312M,"
98,Eric Swalwell,RepSwalwell,2021-06-20T20:35:00.000Z,"RT @RepHorsford: This Father’s Day, I wrote an op-ed in @Newsweek with @RepSwalwell about the importance of #PaidLeaveForAll.

As dads, we…",",RepHorsford,",",",",",","
99,Eric Swalwell,RepSwalwell,2021-06-20T16:27:58.000Z,"RT @RepDonBeyer: Honestly, what is wrong with these people? Officer Fanone is a good guy in addition to being a hero who got hurt badly pro…",",RepDonBeyer,",",",",",","
100,Eric Swalwell,RepSwalwell,2021-06-20T16:11:30.000Z,RT @MatthewRozsa: Fun coincidence: @RepSwalwell and I were among the few Democrats who backed @MartinOMalley's 2016 campaign. Perhaps he wo…,",MatthewRozsa,",",",",",","
101,Eric Swalwell,RepSwalwell,2021-06-20T14:54:16.000Z,"RT @MatthewRozsa: There is a long history of violence in Congress, but nothing compares to January 6th. It was, as I discussed with @RepSwa…",",MatthewRozsa,",",",",",","
102,Eric Swalwell,RepSwalwell,2021-06-20T14:48:47.000Z,"Paid leave is not a women's issue nor a partisan issue; it's a fundamental economic issue affecting the well-being of parents, caregivers &amp; working families across the country. This Father's Day, we must guarantee access to paid leave for all Americans. 
https://t.co/xaU6YO3Fhj",",",",",",",",https://t.co/xaU6YO3Fhj,"
103,Eric Swalwell,RepSwalwell,2021-06-19T23:05:24.000Z,Proof McCarthy doesn’t know the difference between himself and Trump. https://t.co/RJ1iNB5wFz,",",",",",",",https://t.co/RJ1iNB5wFz,"
104,Eric Swalwell,RepSwalwell,2021-06-19T15:14:44.000Z,"Today we celebrate justice for all.

I was proud to vote YES to pass the #Juneteenth  National Independence Day Act! I’m grateful for @JacksonLeeTX18 and @TheBlackCaucus for their leadership on this issue. https://t.co/Z8dx8bxA6w",",",",Juneteenth,",",JacksonLeeTX18,TheBlackCaucus,",",https://t.co/Z8dx8bxA6w,"
105,Ro Khanna,RepRoKhanna,2021-06-20T16:38:00.000Z,Wishing everyone a #HappyFathersDay today! Get your vaccine &amp; go see your family with some peace of mind this year.,",",",HappyFathersDay,",",",","
