id:ID,Content,Time,:LABEL
33,RT @GarlandLibrary: It’s Election Day - get out and vote!  Not sure where to go or what you need?  Click https://t.co/kWMyymtyIY or call us…,2022-11-08 15:16:48+00:00,Tweet
34,"RT @JudgeClayJ: Today, Election Day, voters can ride DART for free. Voters can ride at no charge on all DART buses, trains and GoLink and P…",2022-11-08 15:15:18+00:00,Tweet
35,"Today is #ElectionDay! Our democracy only works if every eligible voter participates. I urge every eligible North Texan to make their voice heard and cast their ballot today. Polls are open from 7 AM - 7 PM.
 
Find your polling place: https://t.co/O0U2drmGbh",2022-11-08 12:45:00+00:00,Tweet
36,"As Texas and states across the nation pass laws to make it harder to vote it is important that all federal laws are followed and the rights of voters are protected. 

If your rights have been violated, call the Department of Justice’s Civil Rights Division at: 1-800-253-3931",2022-11-07 23:35:41+00:00,Tweet
37,"It is welcome news that the Department of Justice will have election monitors in Dallas to defend the rights of Texans, ensure voters can easily access the ballot and do so free from intimidation. https://t.co/5rzunlbURV",2022-11-07 23:35:40+00:00,Tweet
38,"The Inflation Reduction Act:

✅Lowers health care costs for https://t.co/77sYvUajNN plans
✅Lowers Rx drug costs in Medicare including $35 insulin and free vaccines next year
✅Lowers energy costs and creates jobs

I'll keep working to lower costs and build on this progress.",2022-11-07 15:15:00+00:00,Tweet
39,"Since @POTUS took office, our economic plan helped create more than 10 million jobs, including 700,000 in manufacturing. And the work doesn't stop there. I’ll continue working with President Biden to lower costs across the board.",2022-11-06 16:30:00+00:00,Tweet
40,LVRJ reporter Gary Martin was a thoughtful journalist. Nevada will miss the professionalism he brought to covering politics in our state. Rest In Peace Gary.,2022-11-11 17:23:34+00:00,Tweet
41,"In honor of #VeteransDay, we come together to commemorate our nation's heroes.

We owe our veterans a debt of gratitude for protecting our American freedoms.

Thank you, today and every day, for your selfless devotion. 🇺🇸",2022-11-11 15:38:15+00:00,Tweet
42,"Honoring our veterans at the 5th Annual Dayton Chamber Veterans Appreciation Dinner.

Thank you for your service to our great country and commitment to the freedoms we enjoy today as Americans. https://t.co/a9L3ZKVZz6",2022-11-10 21:08:13+00:00,Tweet
43,"On Veterans Day we honor and thank the men and women who have served in our armed forces. Our country wouldn’t be the greatest in history if it weren’t for their dedication and sacrifice. 

God bless America and God bless our Veterans. https://t.co/ytjfBoRj70",2022-11-11 16:24:51+00:00,Tweet
44,Happy birthday to the @USMC. https://t.co/w6XPEq8XFc,2022-11-10 19:09:02+00:00,Tweet
45,"Brendan, Keira, and Nicolas have led impressive high school careers, and I am proud to nominate them to the service academies. I join their family, friends, and all North Dakotans in wishing them the best as they represent our great state.

https://t.co/KhS5SsaOns",2022-11-08 00:20:38+00:00,Tweet
46,"On Friday President Biden took aim at reliable coal power. Yesterday he promised no more drilling for oil.

This administration is determined to destroy our national energy security and put thousands of North Dakotans out of work. https://t.co/Rjpidb6nDO",2022-11-07 19:26:45+00:00,Tweet
47,"What a tremendous honor it is to celebrate #VeteransDay with those who made the ultimate sacrifice to preserve the freedoms of our nation. Thank you to these brave men and women, in West Texas and beyond, who put it all on the line for the greatest country in the world. https://t.co/nx9qq3lvcd",2022-11-11 18:16:26+00:00,Tweet
48,"RT @EveningEdit: .@RepArrington
@lh_carter
@Meuser4Congress
@WilsonWPA
@RepJasonSmith
@JessAnderson2
@RepJamesComer.

Joining us tonight on…",2022-11-09 22:28:25+00:00,Tweet
49,"📺 I'm joining @EveningEdit on 
@FoxBusiness at 6:00pm ET! #TUNEIN",2022-11-09 22:05:28+00:00,Tweet
50,"It’s the honor of a lifetime to represent #TX19. Thank you West Texas for allowing me to continue serving you. 

Let’s get back to work! God bless and Go WTX!",2022-11-09 19:06:47+00:00,Tweet
51,Republicans are LISTENING to what matters most to voters while Democrats are TELLING them what they should care about. There is a clear disconnect between Democrats and the American people. https://t.co/MFkjit5sdM,2022-11-08 20:46:42+00:00,Tweet
52,"Today, Texans have the opportunity to get out and participate in the democratic process that makes America the greatest nation of all time. There’s still time to make your voice heard by exercising your right and responsibility to vote! God bless and Go West Texas!",2022-11-08 20:29:17+00:00,Tweet
53,📺 I'm joining American Agenda on @newsmax at 1:00pm CT! #TUNEIN https://t.co/Rwi4bydZkO,2022-11-08 18:56:24+00:00,Tweet
54,"Happy 85th to my dad, Gene!! God has been good to him over the years, and we are grateful for dad’s incredible love and dedication to his family. https://t.co/ThzYM9u0Nx",2022-11-07 14:39:42+00:00,Tweet
55,"Earlier this week, I had the opportunity to recognize my friend and brother in Christ, Judge Butch Wagner, for a lifetime of excellent service to Terry County. God Bless &amp; Go West Texas! https://t.co/4UYTeW9SMQ",2022-11-06 13:11:01+00:00,Tweet
56,"The call for a nationwide moment of silence in @POTUS’ Veterans Day Proclamation is an important marker of respect for our veterans.

I am proud of the efforts of @BarneyFrank @joekennedy &amp; me to get this moment of silence included &amp; encourage all Americans to participate.",2022-11-11 15:33:55+00:00,Tweet
57,"Happy 247th birthday, Marines. 

Since 1775, there's been no better friend, no worse enemy.",2022-11-10 22:45:58+00:00,Tweet
58,"I agree. 

Today, I held a climate summit to discuss the future of clean energy. Thanks to my friend @joekennedy for joining as well. https://t.co/ynTcAej9Nz https://t.co/uR1y81qk0C",2022-11-10 17:24:57+00:00,Tweet
59,"It’s Election Day. 

To check your registration and polling location visit: https://t.co/WdWxbX8tgO https://t.co/on0PjQqI4K",2022-11-08 13:43:36+00:00,Tweet
60,Remember to set your clocks back an hour tonight for Daylight Savings https://t.co/Aq6Oq6Xhd2,2022-11-05 22:31:22+00:00,Tweet
61,"Happy #VeteransDay!

Today and every day, we honor the service and the commitment of all who have helped keep our country safe and free. #IA03 https://t.co/9veEMuIiZR",2022-11-11 15:37:06+00:00,Tweet
62,"I know rising prices are squeezing families in #IA03. With the Inflation Reduction Act, we are lowering drug prices, energy costs, and health insurance premiums to help folks make ends meet. #PeopleOverPolitics",2022-11-10 23:19:08+00:00,Tweet
63,"My SMART Act w/ @RepJimCosta will help ensure American products are promoted in primary and secondary markets, providing access to new markets for farmers seeking to export their products.
https://t.co/VKJnR9VB8o",2022-11-10 19:49:40+00:00,Tweet
64,"Broadband helps create equal learning opportunities for kids in school, expands telehealth options, and helps our small businesses compete.",2022-11-09 22:11:03+00:00,Tweet
65,"Investments that I helped secure in the Bipartisan Infrastructure Law are beginning to land in Iowa!

💻$5 million will go toward planning and infrastructure so Iowa can expand its high-speed internet access for all.",2022-11-09 22:11:03+00:00,Tweet
66,"Texans want a secure border, a healthy economy, low prices, safe streets, and leaders who fight to uphold their constitutional rights.

It's that simple.

@NEWSMAX @seanspicer https://t.co/AhDHdPll6x",2022-11-11 21:06:17+00:00,Tweet
67,"RT @AlexEpstein: The US is experiencing a dangerous shortage of diesel fuel.

Blame our anti-fossil-fuel politicians, who:

* Prevented us…",2022-11-11 20:04:52+00:00,Tweet
68,"To all of our current and former Soldiers, Sailors, Airmen, Marines, Guardians, and Coasties – I gratefully and humbly say: THANK YOU and Happy Veterans Day.

May America forever appreciate your service to our nation. 

#HappyVeteransDay https://t.co/PK4LfK8N9x",2022-11-11 17:48:49+00:00,Tweet
69,"It is time to unleash the full potential of the @SpaceForceDoD by establishing a reserve component for our Guardians. #spaceforcecaucus
https://t.co/qkVlOY1FxE",2022-11-10 18:31:05+00:00,Tweet
70,"As President, Biden has spent 150+ days in Delaware and 0 days at the southern border.

It’s a humanitarian disaster and national security crisis down there, but the Left obviously doesn’t care. https://t.co/ic9Blme4qH",2022-11-08 23:35:26+00:00,Tweet
71,"Thousands of America’s veterans are homeless while Biden uses YOUR money to house illegals in hotel rooms.

It’s wrong in every way. https://t.co/yUNxoId6sn",2022-11-08 20:43:43+00:00,Tweet
72,"Don’t forget, the Democrats who are now saying they support the police are the same Democrats who supported this ⤵️ https://t.co/sncqbuStKh",2022-11-08 16:09:59+00:00,Tweet
73,"Reminder: Biden’s botched Afghanistan withdrawal cost our warriors their lives, left Americans behind enemy lines, and gifted terrorists $7 billion worth of U.S. military equipment. 

Don’t forget it. https://t.co/ZMlxrQr4wX",2022-11-08 00:54:15+00:00,Tweet
74,"Diesel prices are 50% higher than they were a year ago.

Meanwhile, our reserves are the lowest they’ve been since 1951.

Biden’s energy war is destroying our economy. https://t.co/VDinY51jXr",2022-11-07 23:13:26+00:00,Tweet
75,"Joe Biden is the most divisive president in history.

The American people see through the blame game and his lies.

They know who's responsible for the dismal state of the country. @jsolomonReports @AmandaHead https://t.co/1Ag3Bzwgdc",2022-11-06 15:12:57+00:00,Tweet
76,"Our office worked hard to ensure Petty Officer French’s legacy got the recognition it deserves. We not only pushed to rename the Benson Post Office in his honor, but we worked with the US Navy to award the appropriate medal posthumously for his selfless valor. https://t.co/CTGjLIrFrF",2022-11-12 16:30:12+00:00,Tweet
77,"Since 2019, domestic diesel production capacity has dropped by 180,000 barrels/day. Now, the average price of diesel is $5.32/gallon. If this Admin truly wants to lower the cost of food, they would allow more drilling so farmers can produce more for less. https://t.co/iYlYdYYkcP",2022-11-11 21:30:22+00:00,Tweet
78,"Today our staff  attended Papillion’s Veterans Day ceremony at American Legion Post 32. Mayor David Black spoke, as well as guest speaker Brigadier General Paul Cohen (ret). https://t.co/1HH8n10z31",2022-11-11 20:45:19+00:00,Tweet
79,In honor of #VeteransDay I sat down with Army Korean War veteran Corporal Dennis Pavlik to hear his story. Watch it here! ⬇️ https://t.co/T99iMHJJ30,2022-11-11 18:20:00+00:00,Tweet
80,@FerozMohmand Thank you friend.,2022-11-11 13:18:05+00:00,Tweet
81,"In honor of #VeteransDay tomorrow, I sat down with Navy Petty Officer Third Class Mickaelle Rockette to hear her story. Watch it here! ⬇️ https://t.co/xMO28DEZhh",2022-11-10 22:10:00+00:00,Tweet
82,"I support banning Russian oil. The Biden Admin can't rely on the Strategic Oil Reserve forever. I urged them to open drilling for months, but to no avail. American producers, truckers, and families can't take much more of this. https://t.co/w7cUbo25j3",2022-11-10 16:30:33+00:00,Tweet
83,"Happy 247th Birthday @USMC! We salute and thank all of our Marines who have served and continue to serve with honor, courage, and commitment. #SemperFi https://t.co/NQeVnjGCWf",2022-11-10 14:02:36+00:00,Tweet
84,"With #VeteransDay coming up, I sat down with Marine Korean War veteran Corporal Rex Gruber to hear his story. Watch it here! ⬇️ https://t.co/X7TkcN7CvM",2022-11-09 21:00:01+00:00,Tweet
85,"According  to the Energy Information Administration, households are expected to pay an average of $1,359 this winter for energy—the highest in 25 YEARS! We need to unleash AMERICAN energy dominance to drive down these costs.
https://t.co/BwFWRIEcrs",2022-11-09 18:30:29+00:00,Tweet
86,I will always fight for our #GoldStarFamilies! https://t.co/uHA88mshqh,2022-11-08 19:15:16+00:00,Tweet
87,"RT @HouseGOP: House Republicans have made a Commitment to America to create an economy that’s strong, a nation that is safe, a future that…",2022-11-08 17:50:45+00:00,Tweet
88,"RT @MasonMornings: .@RepDonBacon joins @juliemason 8:20 AM East from the final hours on the Midterm campaign trail, tune in @SXMPOTUS Chann…",2022-11-08 17:49:56+00:00,Tweet
89,"Sexual assault in the military happens too often and can leave veterans with injuries, trauma, anxiety &amp; depression. Changing the effective date of when veterans receive payment is critical to them getting the treatment needed to recover faster.
https://t.co/Z6ukeYDV03 https://t.co/y7TcV9FxrV",2022-11-07 15:05:17+00:00,Tweet
90,@SarahFiliTV Great events,2022-11-07 04:48:39+00:00,Tweet
91,@EricWallace117 @benshapiro Reducing production during increased demand equals higher prices. ECON 101.,2022-11-07 04:45:04+00:00,Tweet
92,RT @benshapiro: But the greedy oil companies are to blame for high gas prices,2022-11-07 04:21:13+00:00,Tweet
93,@JennyPlatte Cut the reckless spending that is devaluing our money and increase energy production in America.,2022-11-07 04:00:36+00:00,Tweet
94,"The average family has lost $5,000 in purchasing power this past year due to the worst inflation seen in 40 years. It hurts the poorest the most. https://t.co/ZiUfTGWYGA",2022-11-07 03:56:46+00:00,Tweet
95,"Thank you Mayor Kindig and La Vista Community Foundation for hosting a HUGE crowd of patriotic vets at the 2022 Salute to Veterans Celebration. We honored veterans who fought in WW2 to present, their families and Gold Star families who lost loved ones while serving in military. https://t.co/M9xbqL4RPK",2022-11-07 03:51:09+00:00,Tweet
96,@1nfoSecBen I agree.,2022-11-07 03:36:41+00:00,Tweet
97,"My heart is broken for the loss of Mayor Grauerholz. He’s been a great friend and I respected his counsel. My sympathies to his wife Becky, daughter Karri, son Dietrich, and his six grandchildren. https://t.co/eJSSROugZ6",2022-11-06 22:50:42+00:00,Tweet
98,"The Baltic Caucus was created to form a strong partnership between the US, Estonia, Latvia &amp; Lithuania—countries that share democratic values and free enterprise.

As Co-Chairs, @RepRubenGallego and I will always stand by our NATO allies and defend our liberties. https://t.co/UEBN0IC4lf",2022-11-06 22:30:12+00:00,Tweet
99,It was great to see Camp Ashland’s reconstruction after the 2019 floods demolished it. Deb Fischer and I were able to get $38 million to fix this important Nebraska Guard facility. The new buildings are built to be flood proof. https://t.co/aQesr7uMdD,2022-11-06 19:56:30+00:00,Tweet
100,"My bill H.R. 3888, now law, reauthorized the CHIP IN for Vets Act for an additional five years. #NE02 benefitted from the original CHIP IN Act championed by my late friend, former Rep. Brad Ashford. Our veterans deserve the best in quality care. https://t.co/ollmDLdA6K",2022-11-06 16:15:13+00:00,Tweet
101,"RT @GLFOP: For those who need to hear this: There IS a #CrimeCrisis in America.

It’s real.

It’s costing innocent lives.

It’s plaguing ou…",2022-11-06 04:06:49+00:00,Tweet
102,RT @Sen_JoeManchin: My statement on comments President Biden made about shutting down coal plants: https://t.co/LEeqrGdwqm,2022-11-06 04:05:34+00:00,Tweet
103,I’ve heard from two people today who lost family members to fentanyl. Most fentanyl comes illegally across our Southern border and originates from China. Our President has not traveled once to our Southern border. We need leadership and accountability at our border. https://t.co/uPyqRbCOrJ,2022-11-06 04:02:47+00:00,Tweet
104,"RT @Opportunity4USA: Be sure to Share, Share, Share this tweet right now with everyone - to help get @RepDonBacon, the Pro-Opportunity cand…",2022-11-06 03:54:55+00:00,Tweet
105,"Happy 247th birthday to the United States Marines. The proud legacy of the Marines at Iwo Jima, Okinawa, Chosin Reservoir, the Middle East and much more are very much part of our nation’s heritage. Semper Fidelis. https://t.co/gaPbaR1bix https://t.co/SjtnYvL32K",2022-11-05 23:54:29+00:00,Tweet
106,"The COVID pandemic highlighted how vital supply chains are to our national security. As a member of the Defense Critical Supply Chain Task Force, my colleagues and I are committed to identifying risks and keeping a competitive edge over our adversaries. https://t.co/EFbBtEgGZ0",2022-11-05 21:05:11+00:00,Tweet
107,"On this Veterans Day, we recognize the men and women who have proudly defended the freedoms we hold so dear. 

Read my Veterans Day message here: https://t.co/Cs6tZc4M9h",2022-11-11 15:05:00+00:00,Tweet
108,"Today, we honor the men and women who've selflessly served our country and those who remain missing and unaccounted for. 

Happy Veterans Day to all who serve-- and to my fellow Vietnam Veterans: welcome home. God Bless America and God Bless those who serve this great nation.",2022-11-11 14:18:00+00:00,Tweet
109,Please join me in wishing @USMC a very happy birthday. https://t.co/Ikg6R4zRBM,2022-11-10 15:11:33+00:00,Tweet
110,"RT @GovHolcomb: #Indiana's story is one where clean energy including solar, nuclear, hydrogen, wind and more - power the future, where publ…",2022-11-10 15:07:29+00:00,Tweet
111,"Serving Indiana's 4th Congressional District is the honor of a lifetime. I look forward to continuing to fight for our shared values and representing your voice in Washington as we gear up for the 118th Congress. 

Thank you, West Central Indiana. Now, let's get to work!",2022-11-09 16:20:48+00:00,Tweet
112,"RT @HouseAgGOP: Diesel fuel is used daily to power farm equipment and deliver goods to market. 

@POTUS' diesel crisis further exacerbates…",2022-11-08 21:18:06+00:00,Tweet
113,"RT @HouseGOP: House Republicans have made a Commitment to America to create an economy that’s strong, a nation that is safe, a future that…",2022-11-08 18:58:57+00:00,Tweet
114,"For nearly 2 years, Hoosiers have watched inflation rates skyrocket &amp; crime rates consistently rise. My top priority next Congress is to improve the quality of life for hardworking Hoosiers by ending Dems' wasteful spending, addressing crime, &amp; unleashing American energy.",2022-11-07 19:00:20+00:00,Tweet
115,"RT @HouseGOP: This Veterans day, we honor all the men and women who answered the call to serve in our armed forces. 

We owe an immeasurabl…",2022-11-11 13:31:14+00:00,Tweet
116,RT @OOGEEP: @RepBalderson and Licking Co. community leaders touring an energy rig in Hebron — learning about making essential energy in cen…,2022-11-10 14:39:59+00:00,Tweet
117,"RT @USMC: Happy Birthday, Marines!

For 247 years, Marines have fought in any clime and place to defend our nation. Today, we reflect on th…",2022-11-10 14:39:27+00:00,Tweet
118,"U.S. oil and gas is cleaner, more efficient, and abundant right here in Licking County and throughout OH-12. 

It’s time to end our reliance on bad actors by restoring American energy leadership once and for all. @OOGEEP #EnergyJobs https://t.co/aoBn5JSNq1",2022-11-09 23:32:37+00:00,Tweet
119,"Home of the free, because of the brave. Happy Veterans Day 🇺🇸 https://t.co/hIXDdc7Z1l",2022-11-11 13:36:15+00:00,Tweet
120,For 247 years Marines have been the first line of defense for American’s freedoms. Happy Birthday to the #USMC! https://t.co/uxtUnGbQjZ,2022-11-11 01:23:58+00:00,Tweet
121,"Big Tech moralizes about woke values while actively working with our greatest adversary the CCP. 

Why is @Apple helping the #CCP crack down on Hong Kong protesters? https://t.co/jIKnUv4P6h",2022-11-10 17:03:43+00:00,Tweet
122,Border Patrol agents are under constant threat of assault because of the lawless #BidenBorderCrisis. https://t.co/r3AbnJ0qIy,2022-11-09 21:09:52+00:00,Tweet
123,".@RepublicanStudy’s Save Democracy Act would implement voter ID requirements, ballot counting transparency, and fair treatment of poll-watchers in federal elections. 

Republicans are committed to election integrity! https://t.co/PYsTRoHBBy",2022-11-08 18:20:39+00:00,Tweet
124,Don’t forget what the Democrat Party stands for! https://t.co/n6fmsqzRBj,2022-11-07 19:04:37+00:00,Tweet
125,".@DrREpstein has found massive partisan bias in Google's search results, YouTube auto play &amp; get out the vote reminders. 

Big Tech' election interference must end! 

https://t.co/QcwyA0KCYl",2022-11-07 16:28:57+00:00,Tweet
126,"RT @DonaldJTrumpJr: Great OpEd from @RepMikeRogersAL and @RepJimBanks on their plan to get tough on China!

Washington Examiner: House Repu…",2022-11-07 16:25:36+00:00,Tweet
127,"When Republicans retake the majority, we’ll put America first by taking on the China threat. 
 
Thank you to @RepMikeRogersAL for your commitment to tackling the #CCP before it’s too late. 
https://t.co/Tuc9SnpV2K",2022-11-07 14:51:46+00:00,Tweet
128,Please join me in thanking all of our veterans for their service to our country. God bless America 🇺🇸 https://t.co/JAoRnMex8W,2022-11-11 16:30:33+00:00,Tweet
129,Enjoyed speaking to Leadership Lexington today. https://t.co/H9tZDew2Ch,2022-11-10 21:41:47+00:00,Tweet
130,Happy 100th birthday to World War II and Korean War veteran Walter Cox. So happy I got to celebrate with you and your family. God bless Walter and all our veterans! 🇺🇸 https://t.co/KJpvsiyXtU,2022-11-09 23:24:43+00:00,Tweet
131,"Praying for a quick end to the wildfire in Estill County, Kentucky. Thank you to all the first responders stepping up to help their neighbors and fight this fire.",2022-11-08 20:56:01+00:00,Tweet
132,My full op-ed in @heraldleader ⬇️ https://t.co/WnHNaeToQo,2022-11-08 00:41:13+00:00,Tweet
133,".@HouseGOP unveiled the #CommitmentToAmerica that we will work to advance in the next Congress. Our plan will empower energy producers to lower costs, boost resources to CBP to secure our border, and fund—not defund—law enforcement to reduce crime.",2022-11-08 00:41:11+00:00,Tweet
134,"Congratulations to Community Ventures and Baya Build, who launched their new housing construction project in the town of Millersburg today. This innovative project will help meet housing needs in the community. https://t.co/U4a2J5uYiU",2022-11-07 21:09:01+00:00,Tweet
135,"In the Commitment to America, @HouseGOP will unleash American energy companies to lower prices. #CommitmentToAmerica https://t.co/BxCJVSxBPW",2022-11-07 16:17:58+00:00,Tweet
136,"Reminder: Joe Biden doesn’t care how high your energy bill goes. His war on energy is why diesel fuel has almost doubled, gas prices are up 40%, and household energy costs are set to hit a ten year high this winter.",2022-11-07 16:17:57+00:00,Tweet
137,RT @HispanicCaucus: #CHCProud of our Members on the ground at #COP27 — climate champions unifying our nation and the world behind climate a…,2022-11-12 03:33:02+00:00,Tweet
138,"Latinos &amp; Latinas have a long &amp; proud history of service to our country. 

Extend my deepest gratitude to all those who have served &amp; want to recognize my @HispanicCaucus Veteran colleagues @RepRubenGallego @RepCarbajal @Kilili_Sablan. Thank you for your service. #VeteransDay",2022-11-11 22:00:34+00:00,Tweet
139,"Thank you @SpeakerPelosi for your leadership of our delegation at #COP27! 

The United States is a leader in the fight against climate change. We are committed to work with world leaders, NGOs, and communities around the world towards a clean, healthy planet for all. https://t.co/jjE50FOkJu",2022-11-11 19:57:37+00:00,Tweet
140,"Great second day at @COP27! Spent day w/NGOs &amp; leaders discussing #EJforAll &amp; climate funding for EJ communities at home &amp; abroad. 
 
The #InflationReductionAct shows US’ climate commitment to reduce emissions. We must also do our part to help our friends around the world. https://t.co/Fp190ZTwyl",2022-11-11 18:39:32+00:00,Tweet
141,"Improved @EPA methane rule for oil &amp; gas wells a significant step forward &amp; shows US climate leadership at #COP27.
 
Proud to have led 15 of my @HispanicCaucus colleagues to support a stronger rule. Methane leaks &amp; flaring disproportionately harm the health of Latino communities. https://t.co/KLkLdC2yPn https://t.co/7Nx70IGGCo",2022-11-11 16:38:52+00:00,Tweet
142,"On #VeteransDay we honor the service &amp; sacrifice of the men &amp; women who have served our country, like Dr. Bernard Strickland from #Willowbrook who served in WWII in the first all-Black tank battalion.
 
Thank you to all Veterans for your patriotism, service, &amp; sacrifice. https://t.co/a3bNkJrhkE",2022-11-11 15:32:31+00:00,Tweet
